,ZenodoOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid
312,W4393573076,A5066311857,Sriparna Mukherjee,0000-0002-1299-4343
313,W4393573076,A5083549654,Adam MacDonald,0000-0002-6470-1186
314,W4393573076,A5090736279,Moein Yaqubi,0000-0001-7299-5930
315,W4393573076,A5007887366,Samantha Gruenheid,0000-0002-0908-6715
316,W4393573076,A5024580674,Louis‐Éric Trudeau,0000-0003-4684-1377
317,W4393573076,A5074478086,Jo Stratton,0000-0002-1205-1353
318,,,nan,
319,W4393799485,A5003538295,Electra Brunialti,0000-0002-0247-3819
320,W4393799485,A5016070892,Alessandro Villa,0000-0002-7445-916X
321,W4393799485,A5052037610,Paolo Ciana,0000-0001-5771-5638
322,,,nan,
323,,,nan,
324,W4393515632,A5014185718,Aubrey Schonhoff,0000-0002-1801-1125
325,,,nan,
326,,,nan,
327,,,nan,
328,,,nan,
329,W4393671463,A5014185718,Aubrey Schonhoff,0000-0002-1801-1125
330,,,nan,
331,,,nan,
332,,,nan,
333,W4394044542,A5086277887,Robert Abrisch,0000-0002-4231-9971
334,W4394044542,A5057238552,Andrea Dickey,0000-0001-8725-0982
335,,,nan,
336,,,nan,
337,,,nan,
338,W4393774069,A5002039998,Juan Li,0000-0003-1565-2477
339,W4393774069,A5082185657,Brit Mollenhauer,0000-0001-8437-3645
340,W4393774069,A5000268173,Michael Schlossmacher,0000-0002-0394-0300
341,W4393768369,A5039704196,Odetta Antico,0000-0002-7325-3303
342,W4393768369,A5050948158,Alban Ordureau,0000-0002-4924-8520
343,W4393768369,A5103155091,Michael Stevens,0000-0001-8105-6302
344,W4393768369,A5081374585,François Singh,0000-0002-1696-9815
345,W4393768369,A5005172607,Raja Nirujogi,0000-0002-3177-8566
346,W4393768369,A5013433142,Marek Gierliński,0000-0001-9149-3514
347,W4393768369,A5054977583,Erica Barini,0000-0002-3093-4053
348,W4393768369,A5081090599,Mollie Rickwood,0000-0002-3715-8915
349,W4393768369,A5027617773,Alan Prescott,0000-0002-0747-7317
350,W4393768369,A5067524265,Rachel Toth,0000-0002-1337-0612
351,W4393768369,A5001971427,Ian Ganley,0000-0003-1481-9407
352,W4393768369,A5047746208,J. Harper,0000-0002-6944-7236
353,W4393768369,A5084528692,Miratul Muqit,0000-0001-9733-2404
354,,,nan,
355,W4393876811,A5036096692,Herschel Dhekne,0000-0002-2240-1230
356,W4393876811,A5029388712,Francesca Tonelli,0000-0002-4600-6630
357,W4393876811,A5071273941,Wondwossen Yeshaw,0000-0002-3134-3458
358,W4393876811,A5085896336,Claire Chiang,0000-0002-0999-9856
359,W4393876811,A5111161388,Limouse Charles,
360,W4393876811,A5094360736,Jaimon Ebsy,
361,W4393876811,A5109698968,Purlyte Elena,
362,W4393876811,A5111163736,Alessi R,
363,W4393876811,A5113165099,Pfeffer R,
364,,,nan,
365,W4393751682,A5090021123,Nicholas Boyer,0000-0001-8283-1710
366,W4393747115,A5004225770,Leilei Shi,0000-0002-9427-4357
367,W4393747115,A5071360122,Weiyi Peng,0000-0002-7785-6240
368,,,nan,
369,W4393500945,A5041244181,Xuefeng Ren,0000-0002-4822-4316
370,,,nan,
371,,,nan,
372,W4393487981,A5014185718,Aubrey Schonhoff,0000-0002-1801-1125
373,W4394052775,A5072197894,Zhouping Hong,0000-0002-8513-3288
374,W4393785040,A5076988745,Eva Karasmanis,0000-0002-0139-0210
375,W4393785040,A5019965194,Verena Dederer,0000-0002-7877-4706
376,W4393785040,A5053245720,Marta Murillo,0000-0002-6175-9315
